Voltage Value - Plot 0,Amplitude - Plot 0
0,1.01E-08
0.005,1.72E-06
0.01,5.31E-06
0.015,7.65E-06
0.02,9.92E-06
0.025,1.21E-05
0.03,1.42E-05
0.035,1.63E-05
0.04,1.83E-05
0.045,2.03E-05
0.05,2.22E-05
0.055,2.42E-05
0.06,2.61E-05
0.065,2.81E-05
0.07,3.01E-05
0.075,3.20E-05
0.08,3.39E-05
0.085,3.58E-05
0.09,3.76E-05
0.095,3.96E-05
0.1,4.15E-05
0.105,4.34E-05
0.11,4.54E-05
0.115,4.74E-05
0.12,4.92E-05
0.125,5.11E-05
0.13,5.30E-05
0.135,5.49E-05
0.14,5.68E-05
0.145,5.87E-05
0.15,6.06E-05
0.155,6.26E-05
0.16,6.45E-05
0.165,6.65E-05
0.17,6.87E-05
0.175,7.08E-05
0.18,7.28E-05
0.185,7.48E-05
0.19,7.68E-05
0.195,7.88E-05
0.2,8.09E-05
0.205,8.29E-05
0.21,8.50E-05
0.215,8.70E-05
0.22,8.90E-05
0.225,9.11E-05
0.23,9.30E-05
0.235,9.52E-05
0.24,9.73E-05
0.245,9.93E-05
0.25,0.000101346
0.255,0.00010342
0.26,0.0001055
0.265,0.000107592
0.27,0.000109516
0.275,0.000111567
0.28,0.000113801
0.285,0.000115717
0.29,0.000118043
0.295,0.000120088
0.3,0.000121913
0.305,0.000123928
0.31,0.000126018
0.315,0.000128064
0.32,0.000130114
0.325,0.000132216
0.33,0.000135441
0.335,0.000138503
0.34,0.00013987
0.345,0.000141779
0.35,0.000144149
0.355,0.000146351
0.36,0.000147838
0.365,0.000149132
0.37,0.00015111
0.375,0.000151905
0.38,0.000153858
0.385,0.000155513
0.39,0.000154077
0.395,0.0001564
0.4,0.000158583
0.405,0.000161934
0.41,0.000163671
0.415,0.000166105
0.42,0.000168755
0.425,0.000169799
0.43,0.000172427
0.435,0.000174196
0.44,0.000175938
0.445,0.000177923
0.45,0.000180348
0.455,0.000182318
0.46,0.000184361
0.465,0.000187359
0.47,0.000188806
0.475,0.000191369
0.48,0.000193842
0.485,0.00019611
0.49,0.00019815
0.495,0.000199373
0.5,0.000200691
0.505,0.000203016
0.51,0.000206032
0.515,0.000207087
0.52,0.000442788
0.525,0.000374892
0.53,0.000324659
0.535,0.000307843
0.54,0.000289097
0.545,0.000271933
0.55,0.000255722
0.555,0.000258889
0.56,0.000249825
0.565,0.000248238
0.57,0.000247248
0.575,0.000242673
0.58,0.000236905
0.585,0.000235737
0.59,0.000238969
0.595,0.000238894
0.6,0.000240424
0.605,0.000240254
0.61,0.000240655
0.615,0.000239888
0.62,0.000243075
0.625,0.000237526
0.63,0.000239591
0.635,0.000240427
0.64,0.000241187
0.645,0.000241371
0.65,0.000243243
0.655,0.000245871
0.66,0.000246034
0.665,0.000246616
0.67,0.000248449
0.675,0.000249238
0.68,0.000250488
0.685,0.000251336
0.69,0.000247353
0.695,0.000248022
0.7,0.000248507
0.705,0.000252039
0.71,0.000254961
0.715,0.000255631
0.72,0.000256532
0.725,0.000256336
0.73,0.000258253
0.735,0.000260533
0.74,0.00025674
0.745,0.000245254
0.75,0.000246164
0.755,0.00024683
0.76,0.000248329
0.765,0.000249195
0.77,0.000250749
0.775,0.000252812
0.78,0.000254561
0.785,0.000254242
0.79,0.000257018
0.795,0.000258689
0.8,0.000260933
0.805,0.000262053
0.81,0.000261481
0.815,0.000262846
0.82,0.0002641
0.825,0.000264573
0.83,0.000267137
0.835,0.000268034
0.84,0.000268921
0.845,0.000269596
0.85,0.000272419
0.855,0.000275215
0.86,0.000276878
0.865,0.000278293
0.87,0.000280855
0.875,0.000282011
0.88,0.000281394
0.885,0.000283226
0.89,0.000281435
0.895,0.000283071
0.9,0.000283905
0.905,0.000286679
0.91,0.000288589
0.915,0.000288562
0.92,0.000291935
0.925,0.000290638
0.93,0.000291682
0.935,0.000289646
0.94,0.000293119
0.945,0.000296349
0.95,0.000298628
0.955,0.000299621
0.96,0.000298362
0.965,0.000297897
0.97,0.000297418
0.975,0.000298114
0.98,0.000297786
0.985,0.000299775
0.99,0.000308627
0.995,0.000313463
1,0.000315793
